sample_id,schedule,position,delay_ms,repetition,role,seed,ops_link_rtt_avg_ms,twin_link_rtt_avg_ms,link_delta_ms,ops_e2e_rtt_avg_ms,twin_e2e_rtt_avg_ms,corrected_prediction_ms,corrected_residual_ms,operational_unsafe_latency,route_match
randomized_seed303-pos-027-delay-30ms-rep-3,randomized_seed303,27,30.0,3,validation,303,69.272,0.138,69.134,70.942,0.145,69.279,1.6629999999999967,True,True
randomized_seed303-pos-028-delay-25ms-rep-3,randomized_seed303,28,25.0,3,validation,303,61.259,0.128,61.131,61.124,0.145,61.276,-0.15200000000000102,True,True
randomized_seed303-pos-029-delay-40ms-rep-3,randomized_seed303,29,40.0,3,validation,303,91.921,0.148,91.77300000000001,92.767,0.156,91.92900000000002,0.8379999999999797,True,True
randomized_seed303-pos-030-delay-20ms-rep-3,randomized_seed303,30,20.0,3,validation,303,48.896,0.114,48.782000000000004,50.229,0.14,48.922000000000004,1.306999999999995,True,True
randomized_seed303-pos-031-delay-1ms-rep-3,randomized_seed303,31,1.0,3,validation,303,6.262,0.14,6.122,6.425,0.151,6.273,0.15200000000000014,False,True
randomized_seed303-pos-032-delay-10ms-rep-3,randomized_seed303,32,10.0,3,validation,303,26.008,0.147,25.861,26.278,0.147,26.008,0.2699999999999996,False,True
randomized_seed303-pos-033-delay-2ms-rep-3,randomized_seed303,33,2.0,3,validation,303,7.755,0.127,7.628,7.738,0.153,7.781,-0.04299999999999926,False,True
up_down-pos-001-delay-0ms-rep-1,up_down,1,0.0,1,validation,,0.141,0.13,0.010999999999999982,0.134,0.146,0.15699999999999997,-0.022999999999999965,False,True
up_down-pos-002-delay-1ms-rep-1,up_down,2,1.0,1,validation,,5.644,0.133,5.511,6.473,0.138,5.649,0.8239999999999998,False,True
up_down-pos-003-delay-2ms-rep-1,up_down,3,2.0,1,validation,,7.63,0.117,7.513,7.728,0.144,7.657,0.07099999999999973,False,True
up_down-pos-004-delay-5ms-rep-1,up_down,4,5.0,1,validation,,14.3,0.142,14.158000000000001,14.11,0.146,14.304000000000002,-0.19400000000000261,False,True
up_down-pos-005-delay-10ms-rep-1,up_down,5,10.0,1,validation,,25.815,0.118,25.697000000000003,26.072,0.15,25.847,0.22499999999999787,False,True
up_down-pos-006-delay-15ms-rep-1,up_down,6,15.0,1,validation,,39.111,0.135,38.976,37.891,0.144,39.12,-1.2289999999999992,False,True
up_down-pos-007-delay-20ms-rep-1,up_down,7,20.0,1,validation,,50.032,0.144,49.888,51.319,0.151,50.039,1.2800000000000011,True,True
up_down-pos-008-delay-25ms-rep-1,up_down,8,25.0,1,validation,,58.742,0.139,58.602999999999994,62.414,0.141,58.74399999999999,3.670000000000009,True,True
up_down-pos-009-delay-30ms-rep-1,up_down,9,30.0,1,validation,,71.051,0.142,70.909,70.389,0.164,71.07300000000001,-0.6840000000000117,True,True
up_down-pos-010-delay-35ms-rep-1,up_down,10,35.0,1,validation,,79.292,0.144,79.148,80.096,0.14,79.288,0.8080000000000069,True,True
up_down-pos-011-delay-40ms-rep-1,up_down,11,40.0,1,validation,,91.587,0.13,91.45700000000001,92.664,0.141,91.59800000000001,1.0659999999999883,True,True
up_down-pos-012-delay-35ms-rep-2,up_down,12,35.0,2,validation,,81.403,0.123,81.28,82.708,0.163,81.443,1.2650000000000006,True,True
up_down-pos-013-delay-30ms-rep-2,up_down,13,30.0,2,validation,,70.681,0.128,70.553,70.453,0.134,70.687,-0.23399999999999466,True,True
up_down-pos-014-delay-25ms-rep-2,up_down,14,25.0,2,validation,,62.786,0.12,62.666000000000004,60.272,0.136,62.80200000000001,-2.5300000000000082,True,True
up_down-pos-015-delay-20ms-rep-2,up_down,15,20.0,2,validation,,49.779,0.117,49.662000000000006,50.575,0.147,49.809000000000005,0.7659999999999982,True,True
up_down-pos-016-delay-15ms-rep-2,up_down,16,15.0,2,validation,,38.864,0.131,38.733,39.019,0.14,38.873,0.1460000000000008,False,True
up_down-pos-017-delay-10ms-rep-2,up_down,17,10.0,2,validation,,25.998,0.132,25.866,27.298,0.141,26.006999999999998,1.2910000000000004,False,True
up_down-pos-018-delay-5ms-rep-2,up_down,18,5.0,2,validation,,14.214,0.125,14.089,13.877,0.132,14.221,-0.3439999999999994,False,True
up_down-pos-019-delay-2ms-rep-2,up_down,19,2.0,2,validation,,7.73,0.125,7.605,7.52,0.143,7.748,-0.22800000000000065,False,True
up_down-pos-020-delay-1ms-rep-2,up_down,20,1.0,2,validation,,5.701,0.15,5.550999999999999,6.228,0.141,5.691999999999999,0.5360000000000005,False,True
up_down-pos-021-delay-0ms-rep-2,up_down,21,0.0,2,validation,,0.145,0.149,-0.0040000000000000036,0.182,0.139,0.139,0.04299999999999998,False,True
up_down-pos-022-delay-0ms-rep-3,up_down,22,0.0,3,validation,,0.122,0.135,-0.013000000000000012,0.133,0.144,0.144,-0.010999999999999982,False,True
up_down-pos-023-delay-1ms-rep-3,up_down,23,1.0,3,validation,,6.081,0.132,5.949000000000001,6.613,0.133,6.082000000000001,0.5309999999999997,False,True
up_down-pos-024-delay-2ms-rep-3,up_down,24,2.0,3,validation,,7.803,0.127,7.676,7.884,0.134,7.8100000000000005,0.07399999999999984,False,True
up_down-pos-025-delay-5ms-rep-3,up_down,25,5.0,3,validation,,14.007,0.126,13.881,13.716,0.122,14.003,-0.2870000000000008,False,True
up_down-pos-026-delay-10ms-rep-3,up_down,26,10.0,3,validation,,26.938,0.139,26.799,26.386,0.143,26.942,-0.5560000000000009,False,True
up_down-pos-027-delay-15ms-rep-3,up_down,27,15.0,3,validation,,37.844,0.125,37.719,38.818,0.141,37.86,0.9579999999999984,False,True
up_down-pos-028-delay-20ms-rep-3,up_down,28,20.0,3,validation,,48.744,0.121,48.623,49.321,0.136,48.759,0.5619999999999976,False,True
up_down-pos-029-delay-25ms-rep-3,up_down,29,25.0,3,validation,,61.595,0.139,61.455999999999996,61.798,0.139,61.595,0.20300000000000296,True,True
up_down-pos-030-delay-30ms-rep-3,up_down,30,30.0,3,validation,,71.709,0.127,71.58200000000001,72.393,0.144,71.72600000000001,0.6669999999999874,True,True
up_down-pos-031-delay-35ms-rep-3,up_down,31,35.0,3,validation,,82.967,0.133,82.834,80.574,0.151,82.985,-2.4110000000000014,True,True
up_down-pos-032-delay-40ms-rep-2,up_down,32,40.0,2,validation,,91.191,0.13,91.061,92.126,0.152,91.21300000000001,0.9129999999999967,True,True
up_down-pos-033-delay-35ms-rep-4,up_down,33,35.0,4,validation,,81.849,0.124,81.72500000000001,82.158,0.146,81.87100000000001,0.28699999999999193,True,True
up_down-pos-034-delay-30ms-rep-4,up_down,34,30.0,4,validation,,70.265,0.148,70.117,70.227,0.139,70.256,-0.028999999999996362,True,True
up_down-pos-035-delay-25ms-rep-4,up_down,35,25.0,4,validation,,60.858,0.133,60.724999999999994,61.384,0.185,60.91,0.47400000000000375,True,True
up_down-pos-036-delay-20ms-rep-4,up_down,36,20.0,4,validation,,51.479,0.159,51.32,50.115,0.156,51.476,-1.360999999999997,True,True
up_down-pos-037-delay-15ms-rep-4,up_down,37,15.0,4,validation,,37.205,0.129,37.076,39.168,0.134,37.21,1.9579999999999984,False,True
up_down-pos-038-delay-10ms-rep-4,up_down,38,10.0,4,validation,,26.474,0.12,26.354,26.971,0.136,26.49,0.48100000000000165,False,True
up_down-pos-039-delay-5ms-rep-4,up_down,39,5.0,4,validation,,13.715,0.136,13.579,13.999,0.135,13.714,0.28500000000000014,False,True
up_down-pos-040-delay-2ms-rep-4,up_down,40,2.0,4,validation,,8.024,0.134,7.889999999999999,8.081,0.143,8.033,0.04800000000000004,False,True
up_down-pos-041-delay-1ms-rep-4,up_down,41,1.0,4,validation,,6.223,0.127,6.096,6.005,0.138,6.234,-0.2290000000000001,False,True
up_down-pos-042-delay-0ms-rep-4,up_down,42,0.0,4,validation,,0.136,0.131,0.0050000000000000044,0.141,0.151,0.156,-0.015000000000000013,False,True
